,annual_salary,suspect_id
185,100752,2569623
186,49944,2925497
187,85080,2667157
188,51684,2529703
189,87372,2044554
190,105372,2767925
191,115668,2065452
192,28320,2106023
193,42108,2490465
194,49332,2942627
195,112644,2066604
196,26784,2744875
197,81000,2756670
198,39396,2297790
199,52968,2758450
200,46524,2586027
201,97764,2457493
202,18504,2081099
203,29844,2018691
204,63972,2011842
205,20292,2873345
206,96804,2536275
207,107208,2456657
208,94944,2671437
209,113148,2751528
210,49248,2859623
211,42492,2251645
212,43500,2749042
213,82032,2680734
214,46752,2993486
215,74880,2042328
216,40428,2926023
217,18852,2751358
218,43380,2711079
219,40812,2295320
220,90540,2898524
221,31368,2015566
222,51588,2032877
223,118944,2975967
224,23052,2256343
225,116808,2644899
226,117468,2442580
227,61224,2753467
228,54288,2104709
229,44256,2133584
230,116880,2844511
231,119580,2550261
232,18372,2019021
233,73728,2491928
234,87396,2362372
235,68088,2990437
236,77976,2818220
237,73404,2493288
238,81732,2432493
239,81804,2601932
240,66492,2624184
241,113772,2563045
242,53916,2070033
243,85764,2207009
244,99432,2359982
245,75300,2184908
246,114432,2342838
247,87480,2550012
248,30744,2710347
249,57996,2194807
250,68004,2813138
251,25464,2737498
252,24276,2287354
253,112524,2564893
254,69276,2611465
255,57120,2607099
256,72804,2601243
257,82200,2848300
258,96960,2682710
259,42900,2503500
260,71292,2707434
261,55608,2687738
262,38040,2683778
263,106032,2947153
264,60708,2327722
265,18624,2030846
266,55536,2751917
267,114840,2048499
268,19332,2033275
269,50472,2627489
270,37344,2150898
271,29472,2291600
272,26220,2342386
273,49452,2606655
274,100884,2052702
275,86364,2036916
276,79452,2984870
277,104964,2529086
278,90036,2186438
279,85944,2414219
280,94092,2160888
281,103836,2636147
282,101184,2060264
283,65580,2360472
284,42456,2929938
285,30888,2426430
286,115008,2021776
287,72408,2527325
288,106560,2237161
289,38256,2105097
290,85620,2179443
291,43500,2400588
292,61164,2306040
293,37716,2178963
294,37296,2474974
295,103236,2603253
296,53532,2185063
297,54468,2280121
298,102768,2275856
299,117096,2170328
300,107100,2470411
301,80940,2771572
302,39120,2301499
303,39204,2628405
304,87420,2331005
305,66792,2653099
306,106464,2841477
307,25584,2628648
308,83028,2861247
309,41460,2282615
310,72396,2978294
311,69996,2664570
312,91824,2583589
313,37656,2950673
314,101880,2346993
315,102024,2063983
316,56580,2693957
317,103368,2011872
318,66852,2906838
319,32376,2893375
320,45576,2310011
321,56784,2981139
322,113736,2578902
323,97164,2159736
324,94800,2006046
325,29676,2977480
326,98400,2719205
327,84576,2661646
328,116136,2600968
329,40296,2919055
330,88920,2399189
331,82080,2747367
332,81108,2878787
333,111480,2448041
334,114312,2564282
335,61932,2719183
336,20016,2659235
337,19320,2233179
338,99288,2019865
339,55836,2664849
340,101760,2006277
341,116004,2190149
342,53244,2757263
343,39024,2915143
344,116736,2779834
345,93300,2223554
346,114372,2277886
347,98016,2095688
348,81036,2562167
349,57420,2508667
350,18204,2744544
351,82740,2457477
352,38616,2860017
353,30912,2319564
354,118080,2051013
355,19380,2823511
356,94524,2642008
357,67236,2702851
358,71784,2899446
359,83100,2745172
360,115692,2263560
361,58368,2813940
362,74844,2101419
363,79356,2011437
364,110328,2038370
365,92784,2199755
366,70164,2057429
367,51000,2022211
368,81384,2974010
369,47508,2119990
370,86064,2050556
371,82920,2278521
372,105720,2112818
373,57756,2342957
374,32532,2512171
375,73284,2453711
376,24384,2968821
377,66624,2114119
378,91188,2626100
379,117756,2709660
380,54996,2697043
381,105516,2626912
382,69384,2270132
383,84240,2000404
384,88908,2183972
385,60564,2964577
386,49140,2958239
387,115284,2541657
388,83160,2312040
389,99060,2189441
390,94260,2201904
391,69492,2209747
392,119256,2168343
393,78648,2735469
394,99324,2906517
395,87276,2163679
396,42804,2498946
397,93408,2923857
398,102456,2244910
399,109584,2409461
400,97356,2610906
401,118896,2776064
402,43128,2386650
403,68220,2422918
404,92568,2179664
405,46404,2305598
406,110760,2081271
407,116700,2879714
408,29088,2149297
409,62136,2119509
410,95448,2462484
411,65256,2090500
412,30576,2426920
413,92364,2552900
414,35844,2149775
415,83868,2743061
416,63264,2872064
417,84648,2689302
418,33732,2764266
419,74796,2647219
420,61104,2576303
421,44508,2133393
422,90492,2259087
423,33024,2504280
424,21348,2431358
425,81732,2436897
426,83628,2259974
427,75732,2686671
428,72804,2441783
429,21504,2302050
430,44136,2661417
431,109884,2055642
432,116400,2598589
433,22740,2181737
434,95412,2327969
435,91872,2533603
436,49500,2509545
437,47136,2417005
438,76104,2498331
439,107580,2605416
440,48348,2463923
441,84612,2365593
442,115884,2505137
443,68100,2291491
444,41508,2194664
445,33420,2120341
446,73044,2996015
447,24936,2856847
448,82140,2054240
449,29424,2348487
450,51792,2733710
451,108036,2412494
452,109212,2490308
453,31932,2123050
454,88716,2069369
455,32364,2407545
456,67476,2426221
457,104724,2789137
458,19836,2998686
459,39060,2155372
460,65928,2488299
461,20844,2108755
462,80808,2853782
463,74040,2246557
464,52656,2520769
465,100476,2603139
466,61620,2598622
467,55800,2384688
468,73692,2700645
469,116976,2759886
470,60864,2824466
471,101700,2348397
472,45504,2534493
473,53844,2518683
474,102996,2401638
475,23580,2272911
476,30468,2291100
477,21444,2224691
478,64164,2563059
479,99840,2610098
480,98160,2586012
481,86196,2226201
482,52740,2074614
483,55788,2443438
484,38952,2971178
485,36696,2398603
486,110244,2679415
487,19128,2783962
488,26844,2638862
489,47964,2583026
490,43128,2233384
491,92232,2291717
492,115536,2776435
493,41580,2557201
494,40320,2662027
495,71928,2014868
496,35148,2972708
497,95748,2506828
498,101664,2979678
499,81780,2419609
500,68304,2787550
501,29352,2471222
502,93576,2302603
503,76320,2476009
504,89112,2869240
505,38376,2146612
506,30276,2224557
507,86160,2023964
508,81912,2018751
509,20724,2424202
510,119772,2063645
511,70428,2028152
512,93384,2948743
513,45456,2002416
514,39108,2958643
515,111144,2084775
516,117168,2546737
517,62448,2256418
518,99180,2016351
519,90600,2067715
520,86868,2625108
521,107448,2116963
522,76092,2798418
523,98976,2630502
524,71184,2294189
525,88968,2555691
526,95292,2540498
527,62076,2322370
528,41832,2235980
529,50448,2908809
530,97548,2423802
531,27108,2937772
532,35388,2038025
533,59172,2052043
534,79704,2536664
535,57888,2639291
536,107136,2236876
537,25176,2533988
538,115332,2973264
539,59352,2726842
540,22860,2261719
541,51744,2757761
542,43452,2094369
543,109704,2417033
544,33612,2593926
545,37056,2555345
546,85608,2184774
547,105024,2939430
548,97332,2119711
549,57000,2837251
550,47016,2278298
551,48636,2893328
552,88080,2849952
553,42000,2697284
554,54264,2395660
555,73992,2663410
556,52068,2228188
557,110136,2622846
558,109548,2186975
559,95748,2032646
560,21876,2422568
561,42504,2146439
562,119184,2569046
563,85956,2723819
564,18732,2493668
565,40356,2419640
566,62700,2694638
567,56064,2027925
568,57840,2643326
569,60324,2620371
570,100212,2733183
571,65076,2543871
572,107772,2140031
573,65436,2201026
574,78336,2507900
575,53496,2684809
576,73896,2441660
577,72072,2082201
578,106656,2203550
579,119040,2266610
580,44736,2575842
581,101040,2906286
582,61428,2085744
583,53028,2634492
584,28512,2616040
585,23352,2182385
586,99624,2226698
587,55524,2803688
588,23100,2104467
589,67932,2263516
590,87612,2527724
591,113772,2769376
592,78732,2056759
593,66384,2154489
594,43776,2662662
595,117240,2509627
596,41772,2626013
597,55080,2790928
598,23352,2251384
599,56364,2567390
600,109764,2691970
601,42300,2702156
602,35328,2727866
603,27672,2164028
604,95148,2993253
605,96840,2998690
606,29508,2675845
607,72948,2382848
608,79080,2701849
609,31824,2874972
610,115548,2970904
611,48300,2509964
612,72612,2430893
613,83076,2173526
614,30084,2803454
615,83184,2266782
616,35040,2858734
617,96108,2527366
618,95832,2957386
619,89148,2401591
620,23268,2877003
621,97332,2332394
622,64692,2819571
623,88932,2450052
624,101604,2282562
625,110724,2768080
626,55128,2037485
627,34656,2885804
628,115752,2619847
629,85476,2344813
630,67500,2133983
631,113232,2736758
632,43116,2041845
633,100944,2730602
634,87396,2401630
635,52920,2965051
636,109944,2379579
637,101028,2480719
638,93816,2094017
639,31404,2232701
640,101316,2890103
641,82596,2675034
642,24732,2974016
643,92952,2334159
644,106452,2067686
645,107208,2275501
646,43836,2931341
647,25248,2667265
648,53364,2886924
649,24756,2736128
650,59724,2370769
651,45396,2118391
652,44964,2745291
653,49284,2628725
654,37416,2801212
655,54456,2812606
656,80940,2915477
657,77568,2081202
658,58980,2564374
659,90528,2648843
660,111480,2464474
661,63960,2295755
662,119160,2756962
663,84048,2656373
664,112464,2612135
665,119016,2612759
666,37104,2539087
667,97236,2538565
668,97776,2375897
669,46428,2997738
670,41892,2896928
671,100536,2107967
672,20412,2684070
673,20280,2662206
674,58788,2288616
675,48780,2058797
676,69600,2403926
677,104148,2405310
678,81768,2956477
679,78600,2373977
680,79212,2791506
681,45636,2850753
682,20856,2119435
683,41484,2498763
684,30504,2194246
685,47436,2607694
686,32964,2519828
687,45408,2414533
688,29628,2721172
689,39360,2834823
690,40080,2500161
691,77532,2865015
692,89736,2827897
693,94500,2184001
694,41856,2353328
695,53460,2293883
696,27396,2532585
697,42108,2369813
698,80040,2741015
699,57816,2987352
700,45264,2106336
701,72744,2756424
702,62352,2450121
703,101424,2218820
704,82692,2509388
705,97188,2916906
706,45312,2820628
707,47196,2044000
708,108336,2174141
709,115812,2795155
710,70116,2021605
711,48156,2426267
712,109332,2536584
713,66324,2904688
714,32340,2556222
715,25620,2368031
716,68016,2335425
717,27792,2367024
718,31164,2381524
719,69312,2070861
720,54660,2862336
721,78168,2496249
722,24204,2928344
723,101460,2160129
724,90156,2038608
725,34296,2645441
726,41100,2776904
727,76860,2646995
728,33252,2552976
729,119508,2157830
730,103728,2600024
731,40332,2425809
732,45852,2761552
733,60804,2870133
734,26604,2889889
735,44424,2315180
736,63648,2964390
737,38400,2630736
738,56544,2751622
739,78144,2868064
740,52188,2922961
741,117348,2718722
742,42456,2226530
743,74664,2288759
744,67968,2226256
745,83520,2245878
746,34128,2737757
747,18396,2792143
748,93600,2758958
749,27912,2601308
750,119676,2222270
751,84036,2264347
752,30132,2746330
753,28080,2341042
754,110556,2927049
755,118944,2525172
756,71580,2221916
757,115620,2068770
758,30216,2683916
759,39684,2008307
760,33420,2989549
761,28584,2697790
762,21660,2358889
763,87228,2324878
764,88332,2412975
765,88704,2787689
766,18960,2169282
767,65112,2693485
768,88200,2858819
769,107880,2777876
770,33216,2172844
771,75804,2179538
772,76176,2111829
773,49860,2591022
774,34080,2249490
775,80304,2643280
776,26676,2691508
777,85104,2384663
778,91812,2293560
779,22416,2775581
780,43008,2520851
781,52584,2644329
782,104616,2347920
783,86520,2210258
784,47112,2395290
785,105852,2231684
786,104112,2248959
787,109356,2476793
788,64320,2126227
789,40788,2225627
790,46008,2120256
791,44196,2778673
792,40920,2160810
793,96960,2011799
794,69084,2928323
795,82248,2837136
796,105612,2519548
797,37320,2537148
798,31824,2228880
799,61248,2247128
800,52116,2602429
801,36504,2851730
802,37416,2146304
803,79956,2028150
804,32232,2123196
805,23664,2984679
806,78084,2873564
807,59016,2020333
808,110280,2444393
809,109212,2628638
810,116616,2722560
811,55464,2115201
812,45816,2893892
813,80448,2291657
814,75480,2238605
815,26220,2242565
816,115236,2869226
817,53460,2497496
818,65772,2498351
819,41988,2301605
820,94872,2012332
821,29664,2772696
822,103104,2955547
823,88128,2337063
824,106824,2989237
825,33252,2697360
826,35172,2563172
827,103992,2802788
828,25224,2821124
829,114948,2966505
830,66372,2393075
831,52740,2031307
832,51276,2945387
833,117876,2603376
834,95148,2465718
835,106656,2848323
836,63576,2980837
837,59880,2206199
838,114312,2861054
839,62568,2945705
840,49524,2214294
841,64956,2858944
842,30420,2450357
843,91512,2273655
844,28284,2516323
845,26664,2881546
846,96864,2954123
847,45636,2497872
848,65736,2605754
849,115260,2565202
850,29088,2750196
851,61524,2169047
852,54576,2600868
853,43428,2390554
854,97608,2622407
855,62196,2289683
856,69828,2141779
857,119160,2045569
858,53544,2612599
859,84132,2309261
860,93060,2282592
861,47388,2432764
862,110796,2173643
863,64800,2855135
864,68760,2279926
865,23208,2930099
866,84168,2304118
867,109992,2323757
868,21888,2835006
869,99720,2885748
870,85836,2648688
871,71268,2815069
872,41292,2809396
873,33948,2016386
874,62568,2327702
875,82104,2187922
876,114084,2079314
877,30216,2329902
878,19680,2672505
879,31428,2924101
880,105576,2110449
881,95760,2277013
882,100524,2725414
883,114720,2953070
884,42156,2472545
885,93276,2297828
886,33684,2772753
887,46836,2483926
888,38508,2662083
889,21852,2087904
890,20508,2380221
891,24084,2982470
892,111120,2378108
893,31764,2721713
894,64104,2872440
895,101004,2133536
896,73068,2696170
897,63180,2559771
898,80136,2082814
899,84588,2906680
900,19152,2421538
901,54828,2416732
902,108996,2563157
903,96600,2462434
904,26436,2790858
905,46200,2599301
906,113880,2449453
907,23592,2480477
908,111348,2603278
909,22692,2487854
910,94680,2652323
911,70176,2790603
912,27216,2248744
913,116544,2831386
914,108936,2290969
915,75936,2434548
916,33684,2555376
917,43848,2657600
918,44652,2226308
919,118020,2836665
920,93228,2726414
921,41916,2134949
922,68640,2364776
923,98652,2995525
924,27468,2910276
925,115584,2299516
926,104388,2843720
927,36828,2849665
928,29160,2155618
929,58320,2588214
930,84456,2983050
931,86796,2743752
932,95364,2494363
933,36360,2023412
934,52764,2227167
935,86340,2951606
936,38052,2183948
937,37668,2429224
938,59400,2135992
939,50040,2655605
940,43608,2176130
941,28200,2212717
942,113352,2753741
943,103692,2463361
944,83820,2942522
945,41376,2413619
946,68016,2537684
947,74784,2399333
948,81312,2740974
949,20532,2994949
950,108228,2506386
951,40584,2835449
952,116088,2458926
953,46308,2112528
954,73092,2458366
955,78312,2394516
956,82128,2230705
957,116856,2666357
958,34896,2511258
959,54396,2857219
960,22740,2700470
961,74688,2123989
962,52044,2064604
963,20124,2858833
964,103464,2614836
965,108420,2437446
966,44064,2139830
967,106848,2666152
968,98196,2829213
969,45888,2972329
970,97788,2460507
971,71856,2484948
972,57180,2525679
973,70740,2881592
974,96108,2563256
975,21480,2161461
976,62580,2140147
977,63048,2528440
978,115380,2866617
979,118140,2502185
980,63792,2333522
981,55104,2388692
982,36612,2835608
983,68220,2967446
984,97488,2575709
985,36624,2072031
986,26220,2939836
987,99096,2632650
988,78084,2070756
989,78936,2423134
990,90300,2177931
991,107496,2272508
992,87600,2063803
993,78564,2032337
994,48264,2924052
995,24372,2139415
996,104352,2913142
997,73500,2951843
998,58632,2141458
999,55668,2647279
1000,23940,2303019
1001,107856,2327336
1002,21828,2745014
1003,116940,2556108
1004,88800,2262606
1005,90468,2354211
1006,42204,2228275
1007,20856,2888348
1008,99408,2376658
1009,74052,2766238
1010,46428,2170411
1011,119988,2149139
1012,26040,2238835
1013,72492,2605090
1014,35724,2759920
1015,111768,2488593
1016,81264,2562950
1017,47856,2732367
1018,59988,2382572
1019,88512,2167817
1020,52596,2844610
1021,114036,2679683
1022,45984,2859437
1023,57528,2082601
1024,107076,2774355
1025,55944,2287493
1026,95628,2436164
1027,118368,2148906
1028,52644,2460840
1029,110676,2408680
1030,49908,2269143
1031,35304,2524620
1032,80952,2716624
1033,96600,2043193
1034,90840,2837667
1035,119244,2708606
1036,64248,2297296
1037,118872,2832908
1038,110532,2760482
1039,34800,2075238
1040,23640,2405784
1041,113808,2481227
1042,74928,2268590
1043,40848,2903740
1044,119868,2392333
1045,18372,2974336
1046,85848,2788040
1047,56904,2483890
1048,64884,2681771
1049,80928,2407565
1050,100716,2425199
1051,83820,2987120
1052,42936,2613228
1053,106668,2750623
1054,57000,2415448
1055,81360,2423350
1056,84132,2627628
1057,110952,2276237
1058,46848,2246267
1059,108900,2066349
1060,57444,2714909
1061,45696,2840359
1062,76812,2146764
1063,32736,2370991
1064,22572,2148816
1065,19176,2426245
1066,116424,2100417
1067,35112,2194644
1068,99192,2478338
1069,109776,2130616
1070,77760,2828959
1071,30840,2192355
1072,42636,2528002
1073,90576,2908223
1074,108252,2876860
1075,24384,2188543
1076,48588,2635297
1077,65352,2234890
1078,30984,2619834
1079,69576,2292453
1080,59340,2588846
1081,80040,2057828
1082,23556,2723192
1083,84792,2134783
1084,91452,2483687
1085,51720,2449051
1086,23208,2321006
1087,102684,2605248
1088,116064,2846931
1089,92760,2004852
1090,59424,2177225
1091,69396,2999313
1092,81612,2905847
1093,45612,2208967
1094,19872,2278400
1095,42216,2261973
1096,37680,2970001
1097,81408,2902348
1098,67164,2871953
1099,61884,2024547
1100,80004,2080042
1101,61704,2315800
1102,59568,2807004
1103,56016,2004298
1104,66672,2765783
1105,67920,2142545
1106,113796,2134099
1107,44472,2807179
1108,45348,2514130
1109,105000,2729408
1110,113856,2908830
1111,62076,2577438
1112,73224,2522225
1113,114468,2017632
1114,94632,2740440
1115,71352,2963748
1116,83580,2731386
1117,32784,2752845
1118,33780,2603409
1119,50424,2192792
1120,19020,2909684
1121,46944,2641881
1122,91296,2114105
1123,114960,2943143
1124,36552,2716864
1125,25476,2436902
1126,113448,2946309
1127,95172,2224034
1128,91560,2400894
1129,87672,2045390
1130,84408,2886366
1131,61080,2440585
1132,81276,2202003
1133,29676,2333926
1134,30204,2333255
1135,33228,2203681
1136,80208,2051220
1137,60228,2013748
1138,60288,2236596
1139,67704,2319551
1140,25524,2949303
1141,84576,2727215
1142,116436,2235093
1143,111228,2011511
1144,75552,2833519
1145,53880,2146793
1146,63252,2709298
1147,89472,2352673
1148,28704,2975281
1149,79992,2952744
1150,117432,2791197
1151,85764,2973621
1152,94740,2562438
1153,93300,2322017
1154,32652,2444830
1155,76752,2795587
1156,109668,2926031
1157,42468,2924237
1158,28320,2251989
1159,112080,2923835
1160,106560,2431231
1161,98784,2018036
1162,89412,2558371
1163,87888,2804890
1164,65724,2626846
1165,96648,2625723
1166,18240,2923217
1167,95148,2240798
1168,57876,2983060
1169,108384,2499397
1170,104688,2022345
1171,107124,2136318
1172,25620,2226883
1173,49884,2236393
1174,55896,2295416
1175,54384,2131947
1176,36156,2423106
1177,51984,2816415
1178,63528,2509348
1179,19788,2575752
1180,97044,2013588
1181,106860,2705569
1182,53160,2862473
1183,95760,2707533
1184,20796,2809335
1185,45048,2597951
1186,40968,2427056
1187,27516,2559569
1188,63456,2572889
1189,23448,2074981
1190,40068,2613511
1191,57180,2224492
1192,119604,2120052
1193,94164,2629404
1194,26292,2508727
1195,21348,2461558
1196,102780,2474388
1197,84300,2932420
1198,41628,2571264
1199,43872,2611204
1200,96552,2365251
1201,31776,2098335
1202,48348,2526268
1203,100056,2546471
1204,81816,2071961
1205,91332,2819014
1206,42288,2283586
1207,105336,2141089
1208,109752,2101275
1209,91896,2299718
1210,29136,2698668
1211,108888,2243924
1212,101148,2653560
1213,20148,2321191
1214,100032,2873819
1215,118536,2276566
1216,104280,2497219
1217,82920,2872104
1218,114552,2261996
1219,78420,2968908
1220,36408,2793963
1221,75024,2941234
1222,76752,2388356
1223,111480,2128354
1224,18636,2835286
1225,78492,2832791
1226,27084,2492554
1227,63636,2879170
1228,38532,2422179
1229,38328,2960294
1230,37380,2624239
1231,118428,2123166
1232,28452,2407879
1233,51324,2528609
1234,91668,2602051
1235,76320,2646487
1236,92676,2660636
1237,117684,2857182
1238,33408,2705927
1239,64632,2976852
1240,106584,2561334
1241,28092,2607517
1242,89136,2518241
1243,114744,2425409
1244,71784,2301530
1245,70728,2419636
1246,72420,2799731
1247,69012,2470010
1248,29172,2901234
1249,94152,2041497
1250,49872,2348011
1251,67656,2912275
1252,98160,2669555
1253,119628,2223453
1254,102792,2910658
1255,113892,2418144
1256,49656,2943268
1257,65328,2031178
1258,51000,2186159
1259,72024,2794457
1260,97116,2441275
1261,26928,2896715
1262,45348,2115251
1263,87972,2757192
1264,93528,2043372
1265,33720,2076651
1266,77688,2547259
1267,38448,2898784
1268,64872,2787496
1269,25380,2188561
1270,37680,2808509
1271,39348,2382918
1272,46548,2609465
1273,43776,2404345
1274,89892,2611269
1275,115284,2805129
1276,31872,2992439
1277,96540,2510826
1278,52392,2269131
1279,103584,2203853
1280,32616,2538804
1281,41544,2631613
1282,39012,2435453
1283,45552,2898242
1284,48612,2851122
1285,47796,2447624
1286,84888,2386629
1287,115416,2443162
1288,98484,2763739
1289,78396,2659677
1290,105336,2804812
1291,107964,2815678
1292,77424,2603002
1293,79080,2010940
1294,83112,2225344
1295,43980,2089804
1296,30780,2946751
1297,111216,2715972
1298,78420,2635911
1299,33384,2709238
1300,72096,2272009
1301,21276,2643556
1302,43536,2044617
1303,78456,2551707
1304,25536,2978542
1305,57300,2616764
1306,52212,2152368
1307,58092,2239680
1308,76644,2839036
1309,80472,2892253
1310,31224,2964406
1311,100692,2279567
1312,46320,2434262
1313,90216,2120624
1314,94776,2756949
1315,46284,2705948
1316,60360,2592087
1317,84900,2548255
1318,95256,2050406
1319,45804,2520256
1320,32904,2381311
1321,117672,2003664
1322,66660,2913691
1323,95064,2882258
1324,87996,2760067
1325,99360,2554439
1326,24300,2126490
1327,41592,2154577
1328,115608,2577101
1329,115164,2756073
1330,105192,2424810
1331,118308,2534555
1332,44604,2607943
1333,96276,2096494
1334,98964,2656141
1335,118032,2874045
1336,46488,2202711
1337,45804,2449878
1338,84732,2494784
1339,25440,2551104
1340,35856,2121864
1341,82296,2502680
1342,38256,2189829
1343,30900,2731135
1344,86280,2266145
1345,79908,2658096
1346,85824,2995304
1347,47376,2296735
1348,49644,2329856
1349,83196,2947182
1350,104052,2897557
1351,99480,2684393
1352,53400,2686122
1353,46740,2908794
1354,54096,2939375
1355,24480,2121134
1356,75144,2845396
1357,34488,2151946
1358,57252,2150899
1359,74160,2429213
1360,60852,2353485
1361,80616,2876349
1362,24228,2624525
1363,51612,2446573
1364,96408,2909339
1365,98880,2376003
1366,94308,2154804
1367,36756,2491863
1368,80892,2209823
1369,90600,2008178
1370,64212,2025581
1371,58380,2777911
1372,81144,2984682
1373,102960,2868430
1374,107124,2312363
1375,27072,2250384
1376,86568,2688708
1377,71064,2450554
1378,83796,2464968
1379,35976,2241878
1380,104856,2191381
1381,93696,2360249
1382,118932,2963827
1383,117696,2985613
1384,106932,2976511
1385,45384,2123610
1386,98868,2980116
1387,97836,2838006
1388,72240,2530537
1389,106500,2720216
1390,76176,2936498
1391,94320,2616937
1392,112392,2864876
1393,101916,2988968
1394,22104,2427751
1395,95304,2138942
1396,40968,2311904
1397,74484,2036497
1398,75948,2767340
1399,56196,2404200
1400,115476,2367025
1401,75924,2100392
1402,65112,2591516
1403,101616,2787282
1404,82452,2359119
1405,28668,2131474
1406,72600,2602468
1407,93600,2467031
1408,23496,2304683
1409,80412,2025736
1410,89928,2421268
1411,73584,2911059
1412,89568,2367677
1413,29184,2324600
1414,21852,2298996
1415,18624,2199736
1416,79500,2267885
1417,73644,2059650
1418,49488,2611483
1419,117384,2833481
1420,26688,2044767
1421,98340,2100220
1422,82944,2927316
1423,26424,2218667
1424,18984,2531784
1425,22692,2366867
1426,71148,2502821
1427,30708,2348930
1428,88452,2488273
1429,24840,2149105
1430,57096,2052595
1431,119040,2546541
1432,52740,2073726
1433,95652,2000260
1434,96528,2802337
1435,85296,2967389
1436,98484,2945269
1437,102408,2984567
1438,34152,2838640
1439,74208,2187455
1440,40392,2741417
1441,25956,2095204
1442,75084,2522591
1443,82044,2903502
1444,40368,2562540
1445,74496,2890782
1446,81516,2640975
1447,94524,2183642
1448,81084,2283124
1449,18912,2651285
1450,39312,2430318
1451,108576,2603984
1452,83124,2160683
1453,100308,2611827
1454,35676,2618705
1455,76020,2923144
1456,52860,2878405
1457,84780,2529291
1458,98436,2679810
1459,90720,2227859
1460,108108,2313372
1461,94248,2146119
1462,111984,2202751
1463,89712,2803755
1464,30108,2045100
1465,44904,2206281
1466,84660,2293435
1467,20256,2406925
1468,96864,2188656
1469,73836,2439780
1470,92532,2614093
1471,119904,2343974
1472,55980,2460471
1473,42672,2502714
1474,91260,2864602
1475,109500,2426120
1476,115728,2853371
1477,32220,2323841
1478,47400,2606139
1479,33960,2349025
1480,21624,2437014
1481,63756,2288196
1482,55968,2667254
1483,64536,2840982
1484,104976,2196379
1485,20196,2862251
1486,86472,2116592
1487,31188,2561048
1488,49032,2806045
1489,18768,2973205
1490,36540,2601273
1491,28236,2831516
1492,51024,2404795
1493,34812,2877884
1494,119676,2201710
1495,119832,2828096
1496,117360,2751403
