,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country
138,20,4,34310,15,4,12,3,4,0,0,20,39
139,49,4,81973,15,2,3,0,1,0,0,40,39
140,61,5,66614,11,2,3,0,4,0,0,40,39
141,27,4,232782,15,4,12,3,4,0,0,40,39
142,19,4,316868,15,4,8,3,4,0,0,30,26
143,45,4,196584,8,4,10,1,4,0,1564,40,39
144,70,4,105376,15,4,13,2,4,0,0,40,39
145,31,4,185814,11,4,14,4,2,0,0,30,39
146,22,4,175374,15,2,8,0,4,0,0,24,39
147,36,4,108293,11,6,8,4,4,0,0,24,39
148,64,4,181232,1,2,3,0,4,0,2179,40,39
149,43,0,174662,15,0,0,1,4,0,0,40,39
150,47,2,186009,15,0,1,4,4,0,0,38,26
151,34,4,198183,11,4,1,1,4,0,0,40,39
152,33,4,163003,9,4,4,2,1,0,0,40,30
153,21,4,296158,11,4,3,3,4,0,0,35,39
154,52,0,252903,11,0,0,1,4,0,0,45,39
155,48,4,187715,11,2,3,0,4,0,0,46,39
156,23,4,214542,9,4,6,1,4,0,0,40,39
157,71,6,494223,15,5,12,4,2,0,1816,2,39
158,29,4,191535,11,0,3,1,4,0,0,60,39
159,42,4,228456,9,5,8,2,2,0,0,50,39
160,68,0,38317,3,0,0,1,4,0,0,20,39
161,25,4,252752,11,4,8,4,4,0,0,40,39
162,44,5,78374,12,0,4,4,1,0,0,40,39
163,28,4,88419,11,4,4,1,1,0,0,40,9
164,45,6,201080,12,2,12,0,4,0,0,40,39
165,36,4,207157,15,0,8,4,4,0,0,40,26
166,39,1,235485,7,4,4,1,4,0,0,42,39
167,46,7,102628,12,6,11,4,4,0,0,40,39
168,18,4,25828,1,4,6,3,4,0,0,16,39
169,66,2,54826,8,6,10,1,4,0,0,20,39
170,27,4,124953,11,4,8,1,4,0,1980,40,39
171,28,7,175325,11,2,11,0,4,0,0,40,39
172,51,4,96062,15,2,12,0,4,0,1977,40,39
173,27,4,428030,9,4,3,1,4,0,0,50,39
174,28,7,149624,9,2,10,0,4,0,0,40,39
175,27,4,253814,11,3,12,4,4,0,0,25,39
176,21,4,312956,11,4,3,3,2,0,0,40,39
177,34,4,483777,11,4,6,1,2,0,0,40,39
178,18,4,183930,11,4,8,3,4,0,0,12,39
179,33,4,37274,9,2,10,0,4,0,0,65,39
180,44,2,181344,15,2,4,0,2,0,0,38,39
181,43,4,114580,15,0,1,1,4,0,0,40,39
182,30,4,633742,15,4,3,1,2,0,0,45,39
183,40,4,286370,5,2,7,0,4,0,0,40,26
184,37,1,29054,15,2,1,0,4,0,0,42,39
185,34,4,304030,11,2,1,0,2,0,0,40,39
186,41,6,143129,9,0,4,1,4,0,0,40,39
187,53,0,135105,9,0,0,1,4,0,0,50,39
188,31,4,99928,12,2,10,5,4,0,0,50,39
189,58,7,109567,10,2,10,0,4,0,0,1,39
190,38,4,155222,15,0,7,1,2,0,0,28,39
191,24,4,159567,15,2,7,0,4,0,0,40,39
192,41,2,523910,9,2,3,0,2,0,0,40,39
193,47,4,120939,15,2,13,0,4,0,0,45,39
194,41,1,130760,9,2,13,0,4,0,0,24,39
195,23,4,197387,4,2,14,2,4,0,0,40,26
196,36,4,99374,15,0,3,1,4,0,0,40,39
197,40,1,56795,12,4,4,1,4,14084,0,55,39
198,35,4,138992,12,2,10,2,4,7298,0,40,39
199,24,6,32921,11,4,12,1,4,0,0,40,39
200,26,4,397317,12,4,10,1,4,0,1876,40,39
201,19,0,170653,11,4,0,3,4,0,0,40,22
202,51,4,259323,9,2,4,0,4,0,0,50,39
203,42,2,254817,15,4,10,1,4,0,1340,40,39
204,37,7,48211,11,0,1,4,4,0,0,35,39
205,18,4,140164,1,4,12,3,4,0,0,40,39
206,36,4,128757,9,2,8,0,2,7298,0,36,39
207,35,4,36270,11,0,3,1,4,0,0,60,39
208,58,5,210563,11,2,12,5,4,15024,0,35,39
209,17,4,65368,1,4,12,3,4,0,0,12,39
210,44,2,160943,11,2,14,0,2,0,0,40,39
211,37,4,208358,11,2,3,0,4,0,0,40,39
212,35,4,153790,15,4,12,1,0,0,0,40,39
213,60,4,85815,11,2,3,0,1,0,0,40,39
214,54,5,125417,5,2,7,0,4,0,0,40,39
215,37,4,635913,9,4,4,1,2,0,0,60,39
216,50,4,313321,7,0,12,1,4,0,0,40,39
217,38,4,182609,9,2,12,0,4,0,0,50,31
218,45,4,109434,9,2,10,0,4,0,0,55,39
219,25,4,255004,0,4,3,1,4,0,0,40,39
220,31,4,197860,15,2,6,0,4,0,0,40,39
221,64,0,187656,3,0,0,1,4,0,0,40,39
222,90,4,51744,11,4,8,1,2,0,2206,40,39
223,54,4,176681,11,2,1,0,2,0,0,20,39
224,53,2,140359,13,4,7,1,4,0,0,35,39
225,18,4,243313,11,4,12,3,4,0,0,40,39
226,60,0,24215,0,0,0,1,0,0,0,10,39
227,66,6,167687,11,2,5,0,4,1409,0,50,39
228,75,4,314209,8,6,1,1,4,0,0,20,4
229,65,4,176796,11,0,1,1,4,0,0,40,39
230,35,4,538583,1,5,14,1,2,3674,0,40,39
231,41,4,130408,11,0,12,4,2,0,0,38,39
232,25,4,159732,15,4,1,1,4,0,0,42,39
233,33,4,110978,15,0,3,2,3,0,0,40,39
234,28,4,76714,14,4,10,1,4,0,0,55,39
235,59,7,268700,11,2,8,0,4,0,0,40,39
236,40,7,170525,15,4,1,1,4,0,0,38,39
237,41,4,180138,9,2,4,0,4,0,0,50,20
238,38,2,115076,12,2,4,0,4,0,0,70,39
239,23,4,115458,11,4,14,3,4,0,0,40,39
240,40,4,347890,9,2,10,0,4,0,0,40,39
241,41,6,196001,11,2,8,5,4,0,0,20,39
242,24,7,273905,7,2,11,0,4,0,0,50,39
243,20,0,119156,15,4,0,3,4,0,0,20,39
244,38,4,179488,15,0,3,1,4,0,1741,40,39
245,56,4,203580,11,2,1,0,4,0,0,35,0
246,58,4,236596,11,2,1,0,4,0,0,45,39
247,32,4,183916,11,4,8,1,4,0,0,34,39
248,40,4,207578,7,2,13,0,4,0,1977,60,39
249,45,4,153141,11,2,1,0,4,0,0,40,0
250,41,4,112763,14,2,10,5,4,0,0,40,39
251,42,4,390781,9,2,1,5,2,0,0,40,39
252,59,2,171328,0,6,8,4,2,0,0,30,39
253,19,2,27382,15,4,1,3,4,0,0,40,39
254,58,4,259014,15,4,14,1,4,0,0,20,39
255,42,6,303044,11,2,5,0,1,0,0,40,1
256,20,4,117789,11,4,8,3,4,0,0,40,39
257,32,4,172579,11,5,8,1,4,0,0,30,39
258,45,4,187666,8,6,4,1,4,0,0,45,39
259,50,4,204518,5,0,3,1,4,0,0,40,39
260,36,4,150042,9,0,10,3,4,0,0,40,39
261,45,4,98092,11,2,12,0,4,0,0,60,39
262,17,4,245918,1,4,8,3,4,0,0,12,39
263,59,4,146013,15,2,12,0,4,4064,0,40,39
264,26,4,378322,1,2,3,0,4,0,0,40,39
265,37,5,257295,15,2,4,0,1,0,0,75,37
266,19,0,218956,15,4,0,3,4,0,0,24,2
267,64,4,21174,11,2,4,0,4,0,0,40,39
268,33,4,185480,9,4,10,1,4,0,0,45,39
269,33,4,222205,11,2,3,5,4,0,0,40,39
270,61,4,69867,11,2,4,0,4,0,0,40,39
271,17,4,191260,6,4,8,3,4,1055,0,24,39
272,50,6,30653,12,2,5,0,4,2407,0,98,39
273,27,2,209109,12,4,10,3,4,0,0,35,39
274,30,4,70377,11,0,10,3,4,0,0,40,39
275,43,4,477983,11,2,6,0,2,0,0,40,39
276,44,4,170924,15,2,3,0,4,7298,0,40,39
277,35,4,190174,15,4,4,1,4,0,0,40,39
278,25,4,193787,15,4,13,3,4,0,0,40,39
279,24,4,279472,15,2,7,5,4,7298,0,48,39
280,22,4,34918,9,4,10,1,4,0,0,15,11
281,42,2,97688,15,2,3,0,4,5178,0,40,39
282,34,4,175413,7,0,12,4,2,0,0,45,39
283,60,4,173960,9,0,10,1,4,0,0,42,39
284,21,4,205759,11,4,6,3,4,0,0,40,39
285,57,1,425161,12,2,12,0,4,15024,0,40,39
286,41,4,220531,14,2,10,0,4,0,0,60,39
287,50,4,176609,15,0,8,1,4,0,0,45,39
288,25,4,371987,9,4,4,1,4,0,0,40,39
289,50,4,193884,5,2,3,0,4,0,0,40,7
290,36,4,200352,9,2,10,0,4,0,0,45,39
291,31,4,127595,11,0,10,1,4,0,0,40,39
292,29,2,220419,9,4,11,1,4,0,0,56,39
293,21,4,231931,15,4,12,3,4,0,0,45,39
294,27,4,248402,9,4,13,4,2,0,0,40,39
295,65,4,111095,11,2,14,0,4,0,0,16,39
296,37,5,57424,9,0,12,1,4,0,0,60,39
297,39,0,157443,12,2,0,5,1,3464,0,40,0
298,24,4,278130,11,4,3,3,4,0,0,40,39
299,38,4,169469,11,0,12,1,4,0,0,80,39
300,48,4,146268,9,2,1,0,4,7688,0,40,39
301,21,4,153718,15,4,8,1,1,0,0,25,39
302,31,4,217460,11,2,14,0,4,0,0,45,39
303,55,4,238638,11,2,12,0,4,4386,0,40,39
304,24,4,303296,15,2,1,5,1,0,0,40,25
305,43,4,173321,11,0,1,1,4,0,0,40,39
306,26,4,193945,7,4,13,1,4,0,0,45,39
307,46,4,83082,7,4,10,1,4,0,0,33,39
308,35,4,193815,7,2,1,0,4,0,0,40,39
309,41,5,34987,15,2,5,0,4,0,0,54,39
310,26,4,59306,9,4,12,1,4,0,0,40,39
311,34,4,142897,12,2,4,0,1,7298,0,35,36
312,19,0,860348,15,4,0,3,2,0,0,25,39
313,36,6,205607,9,0,10,1,2,0,0,40,39
314,22,4,199698,15,4,12,3,4,0,0,15,39
315,24,4,191954,15,4,7,1,4,0,0,40,39
316,77,6,138714,15,2,12,0,4,0,0,40,39
317,22,4,399087,4,2,7,2,4,0,0,40,26
318,29,4,423158,15,4,13,1,4,0,0,40,39
319,62,4,159841,11,6,8,1,4,0,0,24,39
320,39,6,174308,11,2,4,0,4,0,0,40,39
321,43,4,50356,15,2,3,0,4,0,1485,50,39
322,35,4,186110,11,0,14,1,4,0,0,45,39
323,29,4,200381,1,4,4,1,4,0,0,40,39
324,76,6,174309,12,2,3,0,4,0,0,10,39
325,63,6,78383,11,2,5,0,4,0,0,45,39
326,23,0,211601,8,4,0,3,2,0,0,15,39
327,43,4,187728,15,2,10,5,4,0,1887,50,39
328,58,6,321171,11,2,6,0,4,0,0,40,39
329,66,4,127921,11,4,14,1,4,2050,0,55,39
330,41,4,206565,15,4,3,1,2,0,0,45,39
331,26,4,224563,9,4,1,1,4,0,0,40,39
332,47,4,178686,8,4,8,1,4,0,0,40,39
333,55,2,98545,0,2,1,0,4,0,0,40,39
334,53,4,242606,11,2,14,0,4,0,0,40,39
335,17,4,270942,4,4,8,2,4,0,0,48,26
336,30,4,94235,11,4,3,2,4,0,0,40,39
337,49,4,71195,12,4,10,1,4,0,0,60,39
338,19,4,104112,11,4,12,4,2,0,0,30,14
339,45,4,261192,11,2,8,0,2,0,0,40,39
340,26,4,94936,7,4,12,1,4,0,0,40,39
341,38,4,296478,8,2,3,0,4,7298,0,40,39
342,36,7,119272,11,2,11,0,4,7298,0,40,39
343,33,4,85043,11,4,5,1,4,0,0,20,39
344,22,7,293364,15,4,11,3,2,0,0,40,39
345,43,6,241895,9,4,12,1,4,0,0,42,39
346,67,0,36135,1,2,0,0,4,0,0,8,39
347,30,0,151989,8,0,0,4,4,0,0,40,39
348,56,4,101128,7,3,8,1,4,0,0,25,20
349,31,4,156464,9,4,10,3,4,0,0,25,39
350,33,4,117963,9,2,4,0,4,0,0,40,39
351,26,4,192262,11,2,8,0,4,0,0,40,39
352,33,4,111363,9,2,4,0,4,0,0,40,39
353,46,2,329752,1,2,14,0,4,0,0,30,39
354,59,0,372020,9,2,0,0,4,0,0,40,39
355,38,1,95432,11,2,1,0,4,0,0,40,39
356,65,4,161400,1,6,8,4,3,0,0,40,39
357,40,4,96129,8,2,13,0,4,0,0,40,39
358,42,4,111949,11,2,1,5,4,0,0,35,39
359,26,6,117125,6,2,3,0,4,0,0,40,32
360,36,4,348022,0,2,8,5,4,0,0,24,39
361,62,4,270092,12,2,10,0,4,0,0,40,39
362,43,4,180609,9,2,14,0,4,0,0,45,39
363,43,4,174575,9,0,4,1,4,0,1564,45,39
364,22,4,410439,11,3,12,1,4,0,0,55,39
365,28,4,92262,11,2,3,0,4,0,0,40,39
366,56,6,183081,15,2,12,0,4,0,0,45,39
367,22,4,362589,7,4,12,1,4,0,0,15,39
368,57,4,212448,9,0,4,1,4,0,0,45,39
369,39,4,481060,11,0,12,4,4,0,0,40,39
370,26,1,185885,15,4,1,4,4,0,0,15,39
371,17,4,89821,1,4,8,3,4,0,0,10,39
372,40,7,184018,8,2,7,0,4,0,0,38,39
373,45,4,256649,11,2,7,0,2,0,0,40,39
374,44,4,160323,11,4,3,1,2,0,0,40,39
375,20,2,350845,15,4,1,3,4,0,0,10,39
376,33,4,267404,11,2,3,5,4,0,0,40,39
377,23,4,35633,15,4,12,1,4,0,0,40,39
378,46,6,80914,12,0,4,1,4,0,0,30,39
379,38,4,172927,11,2,12,0,4,0,0,50,39
380,54,4,174319,11,0,14,1,4,0,0,40,39
381,46,4,214955,4,0,3,1,4,0,2339,45,39
382,25,4,344991,15,2,3,0,4,0,0,40,39
383,46,4,108699,15,0,12,1,4,0,0,40,39
384,36,2,117312,15,2,14,5,4,0,0,40,39
385,23,4,396099,11,4,8,1,4,0,0,25,39
386,29,4,134152,11,5,7,1,4,0,0,40,39
387,44,4,162028,15,2,1,5,4,0,2415,6,39
388,19,4,25429,15,4,1,3,4,0,0,16,39
389,19,4,232392,11,4,8,2,4,0,0,40,39
390,35,4,220098,11,2,8,5,4,0,0,40,39
391,27,4,301302,9,4,3,1,4,0,0,50,39
392,46,6,277946,7,5,3,1,4,0,0,40,39
393,34,7,98101,9,2,4,0,4,7688,0,45,0
394,34,4,196164,11,4,8,1,4,0,0,35,39
395,44,4,115562,15,2,13,0,4,0,0,40,39
396,45,4,96975,15,0,6,4,4,0,0,40,39
397,20,0,137300,11,4,0,2,4,0,0,35,39
398,25,4,86872,9,2,4,0,4,0,0,55,39
399,52,5,132178,9,2,4,0,4,0,0,50,39
400,20,4,416103,15,4,6,3,4,0,0,40,39
401,28,4,108574,15,4,8,1,4,0,0,40,39
402,50,7,288353,9,2,11,0,4,0,0,40,39
403,34,4,227689,8,0,13,1,4,0,0,64,39
404,28,4,166481,5,2,6,0,3,0,2179,40,33
405,41,4,445382,12,2,4,0,4,0,1977,65,39
406,28,4,110145,11,2,1,0,4,0,0,40,39
407,46,6,317253,11,2,3,0,4,0,0,25,39
408,28,0,123147,15,2,0,5,4,0,1887,40,39
409,32,4,364657,15,2,4,0,4,0,0,50,39
410,41,2,42346,15,0,8,1,2,0,0,24,39
411,24,4,241951,11,4,6,4,2,0,0,40,39
412,33,4,118500,15,0,4,4,4,0,0,40,39
413,46,4,188386,10,2,4,0,4,15024,0,60,39
414,31,7,1033222,15,2,7,0,4,0,0,40,39
415,35,4,92440,2,0,3,1,4,0,0,50,39
416,52,4,190762,3,2,7,0,4,0,0,40,26
417,30,4,426017,1,4,8,3,4,0,0,19,39
418,34,2,243867,1,5,7,1,2,0,0,40,39
419,34,7,240283,11,0,14,4,4,0,0,40,39
420,20,4,61777,15,2,12,0,4,0,0,30,39
421,17,4,175024,1,4,6,3,4,2176,0,18,39
422,32,7,92003,9,2,4,5,4,0,0,40,39
423,29,4,188401,11,0,5,1,4,0,0,40,39
424,33,4,228528,0,4,3,4,4,0,0,35,39
425,25,4,133373,11,2,14,0,4,0,0,60,39
426,36,1,255191,12,4,10,1,4,0,1408,40,39
427,23,4,204653,11,4,6,1,4,0,0,72,6
428,63,5,222289,11,2,4,0,4,0,0,40,39
429,47,2,287480,12,2,10,0,4,0,0,40,39
430,80,0,107762,11,6,0,1,4,0,0,24,39
431,17,0,202521,1,4,0,3,4,0,0,40,39
432,40,6,204116,9,3,10,1,4,2174,0,40,39
433,30,4,29662,7,2,8,5,4,0,0,25,39
434,27,4,116358,15,4,3,3,1,0,1980,40,30
435,33,4,208405,12,2,10,0,4,0,0,50,39
436,34,2,284843,11,4,5,1,2,594,0,60,39
437,34,2,117018,15,4,11,1,4,0,0,40,39
438,23,4,81281,15,2,1,0,4,0,0,40,39
439,42,2,340148,15,2,1,5,4,0,0,40,39
440,29,4,363425,9,4,10,1,4,0,0,40,39
441,45,4,45857,11,0,1,1,4,0,0,28,39
442,24,1,191073,11,4,2,3,4,0,0,40,39
443,44,4,116632,15,2,10,0,4,0,0,40,39
444,27,4,405855,6,4,3,2,4,0,0,40,26
445,20,4,298227,15,4,12,1,4,0,0,35,39
446,44,4,290521,11,6,4,4,2,0,0,40,39
447,51,4,56915,11,2,3,0,0,0,0,40,39
448,20,4,146538,11,2,7,0,4,0,0,40,39
449,17,0,258872,1,4,0,3,4,0,0,5,39
450,19,4,206399,11,4,7,3,2,0,0,40,39
451,45,5,197332,15,2,3,0,4,0,0,55,39
452,60,4,245062,11,2,3,0,4,0,0,40,39
453,42,4,197583,7,2,4,0,2,0,0,40,0
454,44,6,234885,11,2,12,5,4,0,0,40,39
455,40,4,72887,8,2,7,0,1,0,0,40,39
456,30,4,180374,11,2,4,5,4,0,0,40,39
457,38,4,351299,15,2,14,0,2,0,0,50,39
458,23,4,54012,11,2,14,0,4,0,0,60,39
459,32,0,115745,15,2,0,0,4,0,0,40,39
460,44,4,116632,7,4,5,3,4,0,0,40,39
461,54,2,288825,11,2,14,0,2,0,0,40,39
462,32,4,132601,9,2,10,0,4,0,0,50,39
463,50,4,193374,3,3,3,4,4,0,0,40,39
464,24,4,170070,9,4,13,1,4,0,0,20,39
465,37,4,126708,11,2,1,5,4,0,0,60,39
466,52,4,35598,11,0,14,4,4,0,0,40,39
467,38,4,33983,15,2,14,0,4,0,0,40,39
468,49,4,192776,12,2,4,0,4,0,1977,45,39
469,30,4,118551,9,2,13,5,4,0,0,16,39
470,60,4,201965,15,4,10,4,4,0,0,40,39
471,22,0,139883,15,4,0,3,4,0,0,40,39
472,35,4,285020,11,4,3,1,4,0,0,40,39
473,30,4,303990,11,4,14,1,4,0,0,60,39
474,67,4,49401,8,0,8,1,4,0,0,24,39
475,46,4,279196,9,4,3,1,4,0,0,40,39
476,17,4,211870,6,4,8,1,4,0,0,6,39
477,22,4,281432,15,4,6,3,4,0,0,30,39
478,27,4,161155,0,4,8,1,4,0,0,40,39
479,23,4,197904,11,4,8,4,4,0,0,35,39
480,33,4,111746,7,2,3,0,4,0,0,45,32
481,43,6,170721,15,2,3,0,4,0,0,20,39
482,28,7,70100,9,4,10,1,4,0,0,20,39
483,41,4,193626,11,3,3,4,4,0,0,40,39
484,52,0,271749,2,4,0,2,2,594,0,40,39
485,25,4,189775,15,3,1,3,2,0,0,20,39
486,63,0,401531,3,2,0,0,4,0,0,35,39
487,59,2,286967,11,2,14,0,4,0,0,45,39
488,45,2,164427,9,0,10,4,4,0,0,40,39
489,38,4,91039,9,2,12,0,4,15024,0,60,39
490,40,4,347934,11,4,8,1,4,0,0,35,39
491,46,1,371373,11,0,1,1,4,0,0,40,39
492,35,4,32220,7,4,4,1,4,0,0,60,39
493,34,4,187251,11,0,10,4,4,0,0,25,39
494,33,4,178107,9,4,3,3,4,0,0,20,39
495,41,4,343121,11,0,1,4,4,0,0,36,39
496,20,4,262749,15,4,7,3,4,0,0,40,39
497,23,4,403107,4,4,8,3,4,0,0,40,8
498,26,4,64293,15,4,10,1,4,0,0,35,39
499,72,0,303588,11,2,0,0,4,0,0,20,39
500,23,2,324960,11,4,5,1,4,0,0,40,31
501,62,2,114060,11,2,14,0,4,0,0,40,39
502,52,4,48925,15,2,1,0,4,0,0,40,39
503,58,4,180980,15,0,8,4,4,0,0,42,10
504,25,4,181054,9,4,12,1,4,0,0,40,39
505,24,4,388093,9,4,4,1,2,0,0,40,39
506,19,4,249609,15,4,11,3,4,0,0,8,39
507,43,4,112131,15,2,4,0,4,0,0,40,39
508,47,2,543162,11,5,1,4,2,0,0,40,39
509,39,4,91996,11,0,8,4,4,0,0,40,39
510,49,4,141944,8,3,6,4,4,0,1380,42,39
511,53,0,251804,4,6,0,4,2,0,0,30,39
